* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 12 2017 08:02:28

* File Generated:     Apr 6 2020 18:45:50

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, CM225

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, WIN_CHOOSE[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
A2, PIO, not used, , , , , , topBank
A3, VCCIO_0, not used, , , , , , topBank
A4, GND, not used, , , , , , UnknownBank
A5, PIO, not used, , , , , , topBank
A6, PIO, not used, , , , , , topBank
A7, PIO, not used, , , , , , topBank
A8, PIO, not used, , , , , , topBank
A9, PIO, not used, , , , , , topBank
A10, PIO, not used, , , , , , topBank
A11, PIO, not used, , , , , , topBank
A12, GND, not used, , , , , , UnknownBank
A13, VCCIO_0, not used, , , , , , topBank
A14, VCC, not used, , , , , , UnknownBank
A15, PIO, not used, , , , , , topBank
B1, PIO, not used, , , , , , leftBank
B2, PIO, not used, , , , , , topBank
B3, PIO, not used, , , , , , topBank
B4, PIO, T_CHOOSE[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B5, PIO, not used, , , , , , topBank
B6, PIO, not used, , , , , , topBank
B7, PIO, K_CHOOSE[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B8, PIO, not used, , , , , , topBank
B9, PIO, not used, , , , , , topBank
B10, PIO, K_CHOOSE[2], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
B11, PIO, not used, , , , , , topBank
B12, PIO, not used, , , , , , topBank
B13, PIO, not used, , , , , , topBank
B14, PIO, not used, , , , , , topBank
B15, PIO, T_CHOOSE[1], Input, , SB_LVCMOS, No Pull Up, Simple Input, rightBank
C1, PIO, not used, , , , , , leftBank
C2, PIO, not used, , , , , , leftBank
C3, PIO, not used, , , , , , topBank
C4, PIO, not used, , , , , , topBank
C5, PIO, not used, , , , , , topBank
C6, PIO, not used, , , , , , topBank
C7, PIO, not used, , , , , , topBank
C8, PIO, not used, , , , , , topBank
C9, PIO_GBIN, K_CHOOSE[7], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C10, PIO, not used, , , , , , topBank
C11, PIO, not used, , , , , , topBank
C12, PIO, not used, , , , , , topBank
C13, PIO, T_CHOOSE[0], Input, , SB_LVCMOS, No Pull Up, Simple Input, topBank
C14, PIO, not used, , , , , , rightBank
C15, VCCIO_1, not used, , , , , , rightBank
D1, PIO, not used, , , , , , leftBank
D2, PIO, not used, , , , , , leftBank
D3, PIO, K_CHOOSE[4], Input, , SB_LVCMOS, No Pull Up, Simple Input, leftBank
D4, PIO, not used, , , , , , leftBank
D5, PIO, not used, , , , , , topBank
